Parameter Value,Best,Worst,Avg
0.01,9788.359318542707,6994.59076602907,9713.6741420468
0.1,9905.540030222664,6988.065320446634,9776.254990694875
0.2,9769.413180456751,7090.493573401178,9606.496449917062
0.3,9898.747301025223,6870.87162557735,9786.201025628556
0.5,9831.320109885226,6824.490714696758,9648.25762872222
