Iteration;Best Fitness;Average Fitness;Worst Fitness
1;9421.276527517135;7735.731756839952;7056.408266754666
2;9421.276527517135;8657.335246026722;7942.711781639181
3;9490.324833011495;9207.395228634095;8804.602000830826
4;9490.324833011495;9399.044484390202;9333.01893875567
5;9490.324833011495;9447.989168688255;9421.276527517135
6;9704.100641469166;9472.575879908274;9454.034311578444
7;9704.100641469166;9500.933420236344;9490.324833011495
8;9704.100641469166;9541.531842394828;9490.324833011495
9;9704.100641469166;9683.294593652949;9588.93544953979
10;9704.100641469166;9704.100641469166;9704.100641469166
11;9704.100641469166;9704.100641469166;9704.100641469166
12;9704.100641469166;9704.100641469166;9704.100641469166
13;9704.100641469166;9704.100641469166;9704.100641469166
14;9704.100641469166;9704.100641469166;9704.100641469166
15;9704.100641469166;9704.100641469166;9704.100641469166
16;9704.100641469166;9704.100641469166;9704.100641469166
17;9704.100641469166;9704.100641469166;9704.100641469166
18;9704.100641469166;9704.100641469166;9704.100641469166
19;9704.100641469166;9704.100641469166;9704.100641469166
20;9704.100641469166;9704.100641469166;9704.100641469166
21;9704.100641469166;9704.100641469166;9704.100641469166
22;9704.100641469166;9704.100641469166;9704.100641469166
23;9704.100641469166;9704.100641469166;9704.100641469166
24;9704.100641469166;9704.100641469166;9704.100641469166
25;9704.100641469166;9704.100641469166;9704.100641469166
26;9704.100641469166;9704.100641469166;9704.100641469166
27;9704.100641469166;9704.100641469166;9704.100641469166
28;9704.100641469166;9704.100641469166;9704.100641469166
29;9704.100641469166;9704.100641469166;9704.100641469166
30;9704.100641469166;9704.100641469166;9704.100641469166
31;9704.100641469166;9704.100641469166;9704.100641469166
32;9704.100641469166;9704.100641469166;9704.100641469166
33;9704.100641469166;9704.100641469166;9704.100641469166
34;9704.100641469166;9704.100641469166;9704.100641469166
35;9810.752371447652;9705.16715876895;9704.100641469166
36;9810.752371447652;9708.366710668306;9704.100641469166
37;9810.752371447652;9722.231435565509;9704.100641469166
38;9810.752371447652;9772.357748655397;9704.100641469166
39;9810.752371447652;9810.752371447652;9810.752371447652
40;9810.752371447652;9810.752371447652;9810.752371447652
41;9810.752371447652;9810.752371447652;9810.752371447652
42;9810.752371447652;9810.752371447652;9810.752371447652
43;9810.752371447652;9810.752371447652;9810.752371447652
44;9810.752371447652;9810.752371447652;9810.752371447652
45;9810.752371447652;9810.752371447652;9810.752371447652
46;9810.752371447652;9810.752371447652;9810.752371447652
47;9810.752371447652;9810.752371447652;9810.752371447652
48;9810.752371447652;9810.752371447652;9810.752371447652
49;9810.752371447652;9810.752371447652;9810.752371447652
50;9810.752371447652;9810.752371447652;9810.752371447652
51;9810.752371447652;9810.752371447652;9810.752371447652
52;9810.752371447652;9810.752371447652;9810.752371447652
53;9810.752371447652;9810.752371447652;9810.752371447652
54;9810.752371447652;9810.752371447652;9810.752371447652
55;9810.752371447652;9810.752371447652;9810.752371447652
56;9816.686278657804;9810.811710519753;9810.752371447652
57;9816.686278657804;9810.989727736058;9810.752371447652
58;9816.686278657804;9811.642457529175;9810.752371447652
59;9816.686278657804;9815.143462783164;9810.752371447652
60;9816.686278657804;9816.686278657804;9816.686278657804
61;9816.686278657804;9816.686278657804;9816.686278657804
62;9816.686278657804;9816.686278657804;9816.686278657804
63;9816.686278657804;9816.686278657804;9816.686278657804
64;9816.686278657804;9816.686278657804;9816.686278657804
65;9816.686278657804;9816.686278657804;9816.686278657804
66;9816.686278657804;9816.686278657804;9816.686278657804
67;9816.686278657804;9816.686278657804;9816.686278657804
68;9816.686278657804;9816.686278657804;9816.686278657804
69;9816.686278657804;9816.686278657804;9816.686278657804
70;9816.686278657804;9816.686278657804;9816.686278657804
71;9817.731041231567;9816.696726283542;9816.686278657804
72;9817.731041231567;9816.728069160754;9816.686278657804
73;9817.731041231567;9816.759412037967;9816.686278657804
74;9817.731041231567;9817.208659944685;9816.686278657804
75;9839.750307692644;9819.543910378228;9817.731041231567
76;9839.750307692644;9826.113005397665;9817.731041231567
77;9839.750307692644;9831.289684914853;9824.970479786338
78;9839.750307692644;9839.750307692644;9839.750307692644
79;9839.750307692644;9839.750307692644;9839.750307692644
80;9839.750307692644;9839.750307692644;9839.750307692644
81;9839.750307692644;9839.750307692644;9839.750307692644
82;9839.750307692644;9839.750307692644;9839.750307692644
83;9839.750307692644;9839.750307692644;9839.750307692644
84;9839.750307692644;9839.750307692644;9839.750307692644
85;9839.750307692644;9839.750307692644;9839.750307692644
86;9839.750307692644;9839.750307692644;9839.750307692644
87;9839.750307692644;9839.750307692644;9839.750307692644
88;9839.750307692644;9839.750307692644;9839.750307692644
89;9839.750307692644;9839.750307692644;9839.750307692644
90;9839.750307692644;9839.750307692644;9839.750307692644
91;9839.750307692644;9839.750307692644;9839.750307692644
92;9840.044785582597;9839.753252471543;9839.750307692644
93;9840.044785582597;9839.77092114494;9839.750307692644
94;9840.044785582597;9839.850430175227;9839.750307692644
95;9840.044785582597;9840.044785582597;9840.044785582597
96;9840.044785582597;9840.044785582597;9840.044785582597
97;9840.044785582597;9840.044785582597;9840.044785582597
98;9840.044785582597;9840.044785582597;9840.044785582597
99;9840.044785582597;9840.044785582597;9840.044785582597
100;9840.044785582597;9840.044785582597;9840.044785582597
