Iteration;Best Fitness;Average Fitness;Worst Fitness
1;4454.744565755924;2517.7057336318608;1658.529950456581
2;4454.744565755924;3645.5321175619492;2846.943050125169
3;4943.30314333806;4205.91183423468;3928.0110671238644
4;4875.924799968043;4400.348624765722;4230.073392336308
5;4944.131898876635;4590.892088912942;4454.744565755924
6;4944.131898876635;4845.9757655241;4635.20606978762
7;4960.3495511346955;4912.712594735362;4875.924799968043
8;4961.1783066732705;4945.321914303668;4943.30314333806
9;4981.448579227421;4950.927540785229;4944.131898876635
10;4981.448579227421;4961.417296616526;4960.3495511346955
11;4981.448579227421;4963.977116968125;4961.1783066732705
12;4981.448579227421;4971.8045802728875;4961.1783066732705
13;4981.448579227421;4981.448579227421;4981.448579227421
14;4981.448579227421;4981.448579227421;4981.448579227421
15;4981.448579227421;4981.448579227421;4981.448579227421
16;4981.448579227421;4981.448579227421;4981.448579227421
17;4981.448579227421;4981.448579227421;4981.448579227421
18;4981.448579227421;4981.448579227421;4981.448579227421
19;4981.448579227421;4981.448579227421;4981.448579227421
20;4981.448579227421;4981.448579227421;4981.448579227421
21;4981.448579227421;4981.448579227421;4981.448579227421
22;4981.448579227421;4981.448579227421;4981.448579227421
23;4981.448579227421;4981.448579227421;4981.448579227421
24;4981.448579227421;4981.448579227421;4981.448579227421
25;4981.448579227421;4981.448579227421;4981.448579227421
26;4981.448579227421;4981.448579227421;4981.448579227421
27;4981.448579227421;4981.448579227421;4981.448579227421
28;4981.448579227421;4981.448579227421;4981.448579227421
29;4981.448579227421;4981.448579227421;4981.448579227421
30;4981.448579227421;4981.448579227421;4981.448579227421
31;4981.448579227421;4981.448579227421;4981.448579227421
32;4981.448579227421;4981.448579227421;4981.448579227421
33;4981.448579227421;4981.448579227421;4981.448579227421
34;4981.448579227421;4981.448579227421;4981.448579227421
35;4981.448579227421;4981.448579227421;4981.448579227421
36;4981.448579227421;4981.448579227421;4981.448579227421
37;4981.448579227421;4981.448579227421;4981.448579227421
38;4981.448579227421;4981.448579227421;4981.448579227421
39;4981.448579227421;4981.448579227421;4981.448579227421
40;4981.448579227421;4981.448579227421;4981.448579227421
41;4981.448579227421;4981.448579227421;4981.448579227421
42;4981.448579227421;4981.448579227421;4981.448579227421
43;4981.448579227421;4981.448579227421;4981.448579227421
44;4981.448579227421;4981.448579227421;4981.448579227421
45;4981.448579227421;4981.448579227421;4981.448579227421
46;4981.448579227421;4981.448579227421;4981.448579227421
47;4981.448579227421;4981.448579227421;4981.448579227421
48;4981.448579227421;4981.448579227421;4981.448579227421
49;4981.448579227421;4981.448579227421;4981.448579227421
50;4981.448579227421;4981.448579227421;4981.448579227421
51;4981.448579227421;4981.448579227421;4981.448579227421
52;4988.612757888085;4981.520221014028;4981.448579227421
53;4988.612757888085;4982.021713520274;4981.448579227421
54;4988.612757888085;4984.8873849845395;4981.448579227421
55;4988.612757888085;4988.612757888085;4988.612757888085
56;4988.612757888085;4988.612757888085;4988.612757888085
57;4988.612757888085;4988.612757888085;4988.612757888085
58;4988.612757888085;4988.612757888085;4988.612757888085
59;4988.612757888085;4988.612757888085;4988.612757888085
60;4988.612757888085;4988.612757888085;4988.612757888085
61;4988.612757888085;4988.612757888085;4988.612757888085
62;4988.612757888085;4988.612757888085;4988.612757888085
63;4988.612757888085;4988.612757888085;4988.612757888085
64;4988.612757888085;4988.612757888085;4988.612757888085
65;4988.612757888085;4988.612757888085;4988.612757888085
66;4988.612757888085;4988.612757888085;4988.612757888085
67;4988.612757888085;4988.612757888085;4988.612757888085
68;4988.612757888085;4988.612757888085;4988.612757888085
69;4988.612757888085;4988.612757888085;4988.612757888085
70;4988.612757888085;4988.612757888085;4988.612757888085
71;4988.612757888085;4988.612757888085;4988.612757888085
72;4988.612757888085;4988.612757888085;4988.612757888085
73;4988.612757888085;4988.612757888085;4988.612757888085
74;4988.612757888085;4988.612757888085;4988.612757888085
75;5030.243323104852;4989.0290635402525;4988.612757888085
76;5068.222545243112;4990.739356312594;4988.612757888085
77;5068.222545243112;4997.923737114588;4988.612757888085
78;5068.222545243112;5034.320155830748;4988.612757888085
79;5068.222545243112;5067.857822299869;5063.0122174824955
80;5068.222545243112;5068.222545243112;5068.222545243112
81;5068.222545243112;5068.222545243112;5068.222545243112
82;5068.222545243112;5068.222545243112;5068.222545243112
83;5068.222545243112;5068.222545243112;5068.222545243112
84;5068.222545243112;5068.222545243112;5068.222545243112
85;5068.222545243112;5068.222545243112;5068.222545243112
86;5068.222545243112;5068.222545243112;5068.222545243112
87;5068.222545243112;5068.222545243112;5068.222545243112
88;5068.222545243112;5068.222545243112;5068.222545243112
89;5068.222545243112;5068.222545243112;5068.222545243112
90;5068.222545243112;5068.222545243112;5068.222545243112
91;5068.222545243112;5068.222545243112;5068.222545243112
92;5068.222545243112;5068.222545243112;5068.222545243112
93;5068.222545243112;5068.222545243112;5068.222545243112
94;5068.222545243112;5068.222545243112;5068.222545243112
95;5068.222545243112;5068.222545243112;5068.222545243112
96;5068.222545243112;5068.222545243112;5068.222545243112
97;5068.222545243112;5068.222545243112;5068.222545243112
98;5068.222545243112;5068.222545243112;5068.222545243112
99;5068.222545243112;5068.222545243112;5068.222545243112
100;5068.222545243112;5068.222545243112;5068.222545243112
